Gene.ID	Chrom	Gene.Name	Biotype	SRR3133925_nodiff_rep1	SRR3133926_nodiff_rep2	SRR3133927_nodiff_rep3	SRR3133928_diff_rep1	SRR3133929_diff_rep2	SRR3133930_diff_rep3
ENSG00000162408	1	NOL9	protein_coding	603	611	539	422	530	575
ENSG00000173662	1	TAS1R1	protein_coding	5	3	1	20	14	17
ENSG00000204859	1	ZBTB48	protein_coding	592	575	415	510	697	664
ENSG00000162413	1	KLHL21	protein_coding	380	421	326	502	539	463
ENSG00000116273	1	PHF13	protein_coding	1048	1021	973	854	1195	965
ENSG00000041988	1	THAP3	protein_coding	379	339	295	270	315	289
ENSG00000007923	1	DNAJC11	protein_coding	1972	2004	1693	1138	1630	1538
ENSG00000171735	1	CAMTA1	protein_coding	1897	1801	1555	1516	1933	1974
ENSG00000049245	1	VAMP3	protein_coding	1449	1380	1304	2129	2010	2146
ENSG00000049246	1	PER3	protein_coding	860	830	729	168	292	304
ENSG00000049247	1	UTS2	protein_coding	0	0	0	74	2	1
ENSG00000049249	1	TNFRSF9	protein_coding	585	539	458	176	109	46
ENSG00000116288	1	PARK7	protein_coding	5206	4735	4488	4435	5024	5030
ENSG00000116285	1	ERRFI1	protein_coding	411	390	373	367	451	394
ENSG00000162426	1	SLC45A1	protein_coding	161	136	80	325	314	306
ENSG00000142599	1	RERE	protein_coding	3807	3772	2864	3373	4703	3929
ENSG00000074800	1	ENO1	protein_coding	31844	30939	26850	14511	21976	19510
ENSG00000131686	1	CA6	protein_coding	0	0	0	0	0	0
ENSG00000197241	1	SLC2A7	protein_coding	0	0	0	0	0	0
ENSG00000142583	1	SLC2A5	protein_coding	0	2	1	10	6	2
ENSG00000180758	1	GPR157	protein_coding	195	185	158	233	263	243
ENSG00000049239	1	H6PD	protein_coding	1990	1825	1502	2869	2783	2714
ENSG00000171621	1	SPSB1	protein_coding	110	85	68	141	154	121
ENSG00000171612	1	SLC25A33	protein_coding	315	302	270	291	321	326
ENSG00000188807	1	TMEM201	protein_coding	1101	1120	877	899	1112	1066
ENSG00000171608	1	PIK3CD	protein_coding	386	392	297	724	1008	822
ENSG00000171603	1	CLSTN1	protein_coding	5685	5442	4284	7837	7296	6771
ENSG00000178585	1	CTNNBIP1	protein_coding	964	960	735	1139	1194	1111
ENSG00000162441	1	LZIC	protein_coding	1330	1368	1283	894	1304	1221
ENSG00000173614	1	NMNAT1	protein_coding	182	181	143	271	263	230
ENSG00000162444	1	RBP7	protein_coding	2	1	3	4	10	15
ENSG00000130939	1	UBE4B	protein_coding	2015	1875	1666	1525	2193	1949
ENSG00000054523	1	KIF1B	protein_coding	5305	5114	4700	2664	4639	4421
ENSG00000142657	1	PGD	protein_coding	4397	4242	3895	5787	6383	5729
ENSG00000251503	1	CENPS-CORT	protein_coding	4	7	7	3	4	2
ENSG00000175279	1	CENPS	protein_coding	38	44	45	30	32	29
ENSG00000241563	1	CORT	protein_coding	9	8	7	12	18	10
ENSG00000160049	1	DFFA	protein_coding	3051	2819	2611	2139	3036	2818
ENSG00000142655	1	PEX14	protein_coding	680	700	574	717	810	661
ENSG00000130940	1	CASZ1	protein_coding	295	306	237	129	219	225
ENSG00000175262	1	C1orf127	protein_coding	2	4	1	4	8	5
ENSG00000120948	1	TARDBP	protein_coding	3216	2981	3060	2059	2963	2772
ENSG00000277726	1	AL109811.3	protein_coding	0	0	0	0	0	0
ENSG00000009724	1	MASP2	protein_coding	60	58	57	64	84	104
ENSG00000116649	1	SRM	protein_coding	2000	1824	1352	1267	1585	1593
ENSG00000171824	1	EXOSC10	protein_coding	2150	2117	1938	1267	1882	1911
ENSG00000198793	1	MTOR	protein_coding	3764	3710	3327	1678	2727	2502
ENSG00000171819	1	ANGPTL7	protein_coding	3	1	1	14	10	9
ENSG00000120942	1	UBIAD1	protein_coding	678	647	581	415	556	562
ENSG00000204624	1	DISP3	protein_coding	347	416	373	76	192	226
ENSG00000116661	1	FBXO2	protein_coding	409	414	280	1671	1079	1143
ENSG00000132879	1	FBXO44	protein_coding	1198	1175	895	1300	1435	1321
ENSG00000116663	1	FBXO6	protein_coding	89	87	61	184	129	100
ENSG00000116670	1	MAD2L2	protein_coding	1970	1918	1530	1478	1831	1736
ENSG00000162490	1	DRAXIN	protein_coding	319	339	256	297	315	308
ENSG00000177674	1	AGTRAP	protein_coding	473	410	335	498	596	616
ENSG00000215910	1	C1orf167	protein_coding	0	0	0	0	0	0
ENSG00000177000	1	MTHFR	protein_coding	956	996	787	1187	1705	1627
ENSG00000011021	1	CLCN6	protein_coding	1017	1095	970	1015	1662	1562
ENSG00000175206	1	NPPA	protein_coding	17	24	26	16	40	59
ENSG00000120937	1	NPPB	protein_coding	0	2	0	5	3	1
ENSG00000116685	1	KIAA2013	protein_coding	1791	1702	1397	1975	1908	1615
ENSG00000083444	1	PLOD1	protein_coding	3720	3865	3097	9920	7331	6551
ENSG00000116688	1	MFN2	protein_coding	3929	3679	3319	2677	3508	3350
ENSG00000116691	1	MIIP	protein_coding	919	897	720	590	710	737
ENSG00000120949	1	TNFRSF8	protein_coding	1	1	0	1	2	0
ENSG00000028137	1	TNFRSF1B	protein_coding	37	37	23	25	37	24
ENSG00000048707	1	VPS13D	protein_coding	1427	1305	1137	1094	1564	1350
ENSG00000162496	1	DHRS3	protein_coding	42	32	29	892	418	287
ENSG00000204518	1	AADACL4	protein_coding	0	0	0	25	5	2
ENSG00000188984	1	AADACL3	protein_coding	0	0	0	0	0	0
ENSG00000157330	1	C1orf158	protein_coding	0	0	0	0	0	0
ENSG00000116726	1	PRAMEF12	protein_coding	0	0	0	1	0	0
ENSG00000116721	1	PRAMEF1	protein_coding	0	0	0	0	0	0
ENSG00000239810	1	PRAMEF11	protein_coding	0	0	0	0	0	0
ENSG00000179172	1	HNRNPCL1	protein_coding	9	5	4	9	7	9
ENSG00000120952	1	PRAMEF2	protein_coding	0	0	0	0	0	0
ENSG00000243073	1	PRAMEF4	protein_coding	0	0	0	0	0	0
ENSG00000187545	1	PRAMEF10	protein_coding	0	0	0	0	0	0
ENSG00000204510	1	PRAMEF7	protein_coding	0	0	0	0	0	0
ENSG00000232423	1	PRAMEF6	protein_coding	0	0	0	0	0	0
ENSG00000274764	1	PRAMEF27	protein_coding	0	0	0	0	0	0
ENSG00000277058	1	HNRNPCL3	protein_coding	0	0	0	0	2	0
ENSG00000229571	1	PRAMEF25	protein_coding	0	0	0	0	0	0
ENSG00000275774	1	HNRNPCL2	protein_coding	3	1	0	1	2	3
ENSG00000280267	1	PRAMEF26	protein_coding	0	0	0	0	0	0
ENSG00000179412	1	HNRNPCL4	protein_coding	2	2	3	2	7	2
ENSG00000204505	1	PRAMEF9	protein_coding	0	0	0	0	0	0
ENSG00000279169	1	PRAMEF13	protein_coding	0	0	0	0	0	0
ENSG00000279804	1	PRAMEF18	protein_coding	0	0	0	0	0	0
ENSG00000270601	1	PRAMEF5	protein_coding	0	0	0	0	0	0
ENSG00000182330	1	PRAMEF8	protein_coding	0	0	0	0	0	0
ENSG00000237700	1	PRAMEF33	protein_coding	0	0	0	0	0	0
ENSG00000204501	1	PRAMEF15	protein_coding	0	0	0	0	0	0
ENSG00000204481	1	PRAMEF14	protein_coding	0	0	0	0	0	0
ENSG00000204480	1	PRAMEF19	protein_coding	0	0	0	0	0	0
ENSG00000204479	1	PRAMEF17	protein_coding	0	0	0	0	0	0
ENSG00000204478	1	PRAMEF20	protein_coding	0	0	0	0	0	0
ENSG00000162494	1	LRRC38	protein_coding	0	0	0	0	0	0
ENSG00000162493	1	PDPN	protein_coding	0	0	0	0	0	0
ENSG00000116731	1	PRDM2	protein_coding	1240	1242	1129	1072	1784	1732
ENSG00000189337	1	KAZN	protein_coding	373	338	235	297	452	362
ENSG00000171729	1	TMEM51	protein_coding	1141	1219	952	843	1105	1126
ENSG00000142621	1	FHAD1	protein_coding	96	108	89	122	158	154
ENSG00000142634	1	EFHD2	protein_coding	712	697	585	753	934	845
ENSG00000162438	1	CTRC	protein_coding	5	5	3	11	8	15
ENSG00000142615	1	CELA2A	protein_coding	0	4	2	2	4	0
ENSG00000215704	1	CELA2B	protein_coding	2	4	5	5	6	5
ENSG00000132906	1	CASP9	protein_coding	373	364	320	610	630	622
ENSG00000116138	1	DNAJC16	protein_coding	666	637	628	674	826	846
ENSG00000116771	1	AGMAT	protein_coding	92	66	51	48	49	47
ENSG00000197312	1	DDI2	protein_coding	1141	1136	1115	768	1240	1056
ENSG00000215695	1	RSC1A1	protein_coding	0	0	0	0	0	0
ENSG00000116786	1	PLEKHM2	protein_coding	2641	2568	2106	1793	2134	2031
ENSG00000162461	1	SLC25A34	protein_coding	113	118	78	88	134	130
ENSG00000162460	1	TMEM82	protein_coding	0	0	0	0	1	0
ENSG00000162458	1	FBLIM1	protein_coding	1262	1255	1024	2967	3222	2678
ENSG00000233954	1	UQCRHL	protein_coding	3616	3349	3128	2760	3552	3309
ENSG00000065526	1	SPEN	protein_coding	3723	3542	3079	1590	3116	2790
ENSG00000116809	1	ZBTB17	protein_coding	1178	1185	961	864	1047	974
ENSG00000183888	1	SRARP	protein_coding	0	0	0	0	0	0
ENSG00000173641	1	HSPB7	protein_coding	16	27	10	68	68	58
ENSG00000186510	1	CLCNKA	protein_coding	1	1	2	2	3	5
ENSG00000184908	1	CLCNKB	protein_coding	0	0	0	2	2	0
ENSG00000185519	1	FAM131C	protein_coding	58	44	47	81	90	66
ENSG00000142627	1	EPHA2	protein_coding	1365	1378	1044	1308	1331	1084
ENSG00000142632	1	ARHGEF19	protein_coding	325	322	283	464	444	376
ENSG00000132881	1	CPLANE2	protein_coding	157	146	123	112	116	143
ENSG00000037637	1	FBXO42	protein_coding	840	806	763	555	718	730
ENSG00000055070	1	SZRD1	protein_coding	3749	3555	2877	2546	3177	2909
ENSG00000187144	1	SPATA21	protein_coding	2	2	0	1	1	1
ENSG00000157191	1	NECAP2	protein_coding	1585	1440	1250	2036	2127	1955
ENSG00000219481	1	NBPF1	protein_coding	1473	1360	1186	710	1184	1229
ENSG00000058453	1	CROCC	protein_coding	1650	1544	1228	1150	1637	1492
ENSG00000117122	1	MFAP2	protein_coding	2115	2072	1772	8757	5692	4729
ENSG00000159363	1	ATP13A2	protein_coding	1713	1657	1278	1334	1784	1735
ENSG00000117118	1	SDHB	protein_coding	1133	997	949	802	962	911
ENSG00000117115	1	PADI2	protein_coding	3	5	3	19	11	5
ENSG00000142623	1	PADI1	protein_coding	0	0	0	0	1	0
ENSG00000142619	1	PADI3	protein_coding	0	0	0	0	0	0
ENSG00000159339	1	PADI4	protein_coding	0	0	0	0	0	0
ENSG00000276747	1	PADI6	protein_coding	0	0	0	0	0	0
ENSG00000179051	1	RCC2	protein_coding	6345	6222	5598	3027	4322	3621
ENSG00000074964	1	ARHGEF10L	protein_coding	785	836	663	814	1220	1095
ENSG00000117148	1	ACTL8	protein_coding	4	4	4	0	1	0
ENSG00000117154	1	IGSF21	protein_coding	1	1	0	0	0	0
ENSG00000179023	1	KLHDC7A	protein_coding	2	1	2	1	0	0
ENSG00000009709	1	PAX7	protein_coding	0	0	0	0	0	1
ENSG00000179002	1	TAS1R2	protein_coding	0	0	0	0	0	0
ENSG00000255275	1	AL080251.1	protein_coding	0	0	0	0	0	0
ENSG00000159423	1	ALDH4A1	protein_coding	262	222	195	247	269	223
ENSG00000169991	1	IFFO2	protein_coding	67	65	72	50	59	49
ENSG00000127481	1	UBR4	protein_coding	9730	9573	8424	7342	11230	10610
ENSG00000127463	1	EMC1	protein_coding	2330	2235	2039	2767	2463	2310
ENSG00000053372	1	MRTO4	protein_coding	1672	1580	1542	673	1189	1094
ENSG00000162482	1	AKR7A3	protein_coding	14	21	13	12	16	20
ENSG00000053371	1	AKR7A2	protein_coding	548	627	492	446	579	539
ENSG00000040487	1	PQLC2	protein_coding	507	525	393	344	458	461
ENSG00000077549	1	CAPZB	protein_coding	2802	2781	2320	2540	3186	3075
ENSG00000173436	1	MICOS10	protein_coding	310	291	324	226	286	314
ENSG00000158747	1	NBL1	protein_coding	2411	2509	1979	1583	2319	2342
ENSG00000270136	1	MICOS10-NBL1	protein_coding	0	0	0	0	0	0
ENSG00000158748	1	HTR6	protein_coding	238	258	206	89	195	175
ENSG00000162542	1	TMCO4	protein_coding	45	51	26	88	60	56
ENSG00000178828	1	RNF186	protein_coding	0	0	0	0	0	0
ENSG00000169914	1	OTUD3	protein_coding	719	774	650	392	677	693
ENSG00000188784	1	PLA2G2E	protein_coding	0	0	0	0	0	0
ENSG00000188257	1	PLA2G2A	protein_coding	0	0	0	0	0	0
ENSG00000127472	1	PLA2G5	protein_coding	0	0	0	0	0	0
ENSG00000117215	1	PLA2G2D	protein_coding	0	0	0	0	0	0
ENSG00000158786	1	PLA2G2F	protein_coding	1	0	0	0	0	0
ENSG00000187980	1	PLA2G2C	protein_coding	0	0	0	0	0	0
ENSG00000162543	1	UBXN10	protein_coding	0	0	0	0	0	0
ENSG00000158816	1	VWA5B1	protein_coding	0	2	1	2	3	4
ENSG00000162545	1	CAMK2N1	protein_coding	920	873	772	511	660	570
ENSG00000090432	1	MUL1	protein_coding	946	906	839	1093	1148	1191
ENSG00000183114	1	FAM43B	protein_coding	19	18	9	65	70	49
ENSG00000158825	1	CDA	protein_coding	0	0	0	0	0	0
ENSG00000158828	1	PINK1	protein_coding	356	303	247	416	443	410
ENSG00000244038	1	DDOST	protein_coding	5275	5079	4411	10070	6999	6517
ENSG00000117245	1	KIF17	protein_coding	68	81	45	103	161	155
ENSG00000189410	1	SH2D5	protein_coding	26	19	25	19	51	55
ENSG00000127483	1	HP1BP3	protein_coding	5602	5346	5218	4611	5347	5072
ENSG00000075151	1	EIF4G3	protein_coding	3973	3802	3611	3554	4298	3920
ENSG00000117298	1	ECE1	protein_coding	3476	3494	2943	6371	5995	5156
ENSG00000142794	1	NBPF3	protein_coding	479	484	411	299	409	416
ENSG00000162551	1	ALPL	protein_coding	138	129	83	47	116	83
ENSG00000076864	1	RAP1GAP	protein_coding	1054	960	747	436	819	664
ENSG00000090686	1	USP48	protein_coding	2384	2203	2052	1688	2524	2326
ENSG00000187942	1	LDLRAD2	protein_coding	5	5	3	3	7	8
ENSG00000142798	1	HSPG2	protein_coding	931	898	629	850	1394	1190
ENSG00000219073	1	CELA3B	protein_coding	0	0	0	0	0	0
ENSG00000142789	1	CELA3A	protein_coding	0	0	0	0	0	0
ENSG00000070831	1	CDC42	protein_coding	4088	3579	3572	5328	6050	6081
ENSG00000162552	1	WNT4	protein_coding	5	5	0	10	4	2
ENSG00000184677	1	ZBTB40	protein_coding	1866	1820	1630	1481	1993	2045
ENSG00000070886	1	EPHA8	protein_coding	98	85	80	10	84	56
ENSG00000173372	1	C1QA	protein_coding	0	0	0	0	0	0
ENSG00000159189	1	C1QC	protein_coding	0	0	0	0	0	0
ENSG00000173369	1	C1QB	protein_coding	0	0	0	0	0	0
ENSG00000133216	1	EPHB2	protein_coding	1423	1402	1231	611	1275	1144
ENSG00000215906	1	LACTBL1	protein_coding	0	0	0	0	0	0
ENSG00000227868	1	TEX46	protein_coding	0	3	1	1	1	2
ENSG00000004487	1	KDM1A	protein_coding	5979	5937	5781	3130	5386	4942
ENSG00000169641	1	LUZP1	protein_coding	1298	1245	1170	1125	1706	1573
ENSG00000179546	1	HTR1D	protein_coding	0	0	1	5	9	11
ENSG00000125944	1	HNRNPR	protein_coding	7390	7039	7041	4149	6769	6325
ENSG00000125945	1	ZNF436	protein_coding	448	463	427	455	577	530
ENSG00000204219	1	TCEA3	protein_coding	18	21	19	46	66	51
ENSG00000088280	1	ASAP3	protein_coding	983	1050	807	1550	1718	1487
ENSG00000007968	1	E2F2	protein_coding	1479	1560	1297	362	868	780
ENSG00000117318	1	ID3	protein_coding	2617	2299	1687	574	374	255
ENSG00000142676	1	RPL11	protein_coding	12486	11143	10806	12783	14737	13793
ENSG00000011007	1	ELOA	protein_coding	1898	1894	1747	1202	1780	1690
ENSG00000057757	1	PITHD1	protein_coding	1108	970	905	866	914	934
ENSG00000011009	1	LYPLA2	protein_coding	3285	3167	2620	2602	2849	2770
ENSG00000117308	1	GALE	protein_coding	881	881	686	1418	1328	1221
ENSG00000117305	1	HMGCL	protein_coding	351	336	316	927	666	650
ENSG00000179163	1	FUCA1	protein_coding	325	254	300	1337	589	521
ENSG00000188822	1	CNR2	protein_coding	1	0	0	1	0	0
ENSG00000189266	1	PNRC2	protein_coding	1677	1505	1554	1252	1694	1649
ENSG00000188529	1	SRSF10	protein_coding	4360	4031	4039	2183	3525	3206
ENSG00000142661	1	MYOM3	protein_coding	0	0	1	2	1	2
ENSG00000142677	1	IL22RA1	protein_coding	2	0	0	6	2	3
ENSG00000185436	1	IFNLR1	protein_coding	113	109	89	142	198	157
ENSG00000158055	1	GRHL3	protein_coding	2	4	0	3	2	1
ENSG00000001460	1	STPG1	protein_coding	297	306	244	353	433	431
ENSG00000001461	1	NIPAL3	protein_coding	404	360	314	677	636	576
ENSG00000117602	1	RCAN3	protein_coding	404	396	345	526	828	772
ENSG00000184454	1	NCMAP	protein_coding	0	0	0	0	0	0
ENSG00000133226	1	SRRM1	protein_coding	2564	2512	2325	1849	2747	2542
ENSG00000169504	1	CLIC4	protein_coding	2615	2313	2335	4238	5070	4787
ENSG00000020633	1	RUNX3	protein_coding	9	7	5	2	16	4
ENSG00000117614	1	SYF2	protein_coding	1026	925	927	1344	1105	1125
ENSG00000117616	1	RSRP1	protein_coding	1434	1397	1088	2115	2106	2142
ENSG00000187010	1	RHD	protein_coding	16	15	6	23	20	10
ENSG00000183726	1	TMEM50A	protein_coding	1792	1614	1499	3249	2917	2828
ENSG00000188672	1	RHCE	protein_coding	22	31	30	146	107	87
ENSG00000204178	1	MACO1	protein_coding	1219	1103	1125	1459	1683	1484
ENSG00000157978	1	LDLRAP1	protein_coding	204	188	142	360	430	354
ENSG00000117643	1	MAN1C1	protein_coding	56	41	42	70	68	67
ENSG00000162430	1	SELENON	protein_coding	3658	3508	2859	4646	5175	4494
ENSG00000255054	1	AL020996.2	protein_coding	0	0	0	0	0	0
ENSG00000117640	1	MTFR1L	protein_coding	1040	1019	917	982	1157	1137
ENSG00000127423	1	AUNIP	protein_coding	170	158	195	55	109	98
ENSG00000182749	1	PAQR7	protein_coding	491	489	375	596	591	627
ENSG00000117632	1	STMN1	protein_coding	17277	16617	17282	12663	17208	17125
ENSG00000158006	1	PAFAH2	protein_coding	532	467	427	670	564	521
ENSG00000158008	1	EXTL1	protein_coding	77	75	70	66	81	64
ENSG00000158014	1	SLC30A2	protein_coding	20	14	17	0	0	0
ENSG00000158022	1	TRIM63	protein_coding	35	42	31	0	0	0
ENSG00000175087	1	PDIK1L	protein_coding	472	458	432	266	337	362
ENSG00000197245	1	FAM110D	protein_coding	13	19	12	42	28	49
ENSG00000282872	1	C1orf232	protein_coding	0	0	0	0	1	0
ENSG00000236782	1	AL391650.1	protein_coding	23	26	15	7	25	14
ENSG00000142684	1	ZNF593	protein_coding	0	0	0	0	0	0
ENSG00000142675	1	CNKSR1	protein_coding	88	84	70	31	52	89
ENSG00000188782	1	CATSPER4	protein_coding	0	0	0	0	1	1
ENSG00000130695	1	CEP85	protein_coding	1390	1287	1163	667	1059	1113
ENSG00000142669	1	SH3BGRL3	protein_coding	1921	1721	1461	3942	4098	3898
ENSG00000158062	1	UBXN11	protein_coding	934	944	746	355	444	465
ENSG00000169442	1	CD52	protein_coding	0	2	0	1	0	2
ENSG00000176092	1	CRYBG2	protein_coding	41	43	37	17	39	33
ENSG00000176083	1	ZNF683	protein_coding	0	0	0	0	0	0
ENSG00000131914	1	LIN28A	protein_coding	3	2	1	0	0	5
ENSG00000117682	1	DHDDS	protein_coding	840	881	688	818	905	845
ENSG00000198830	1	HMGN2	protein_coding	4946	5015	4719	3038	3871	3850
ENSG00000117676	1	RPS6KA1	protein_coding	943	937	758	526	713	634
ENSG00000117713	1	ARID1A	protein_coding	7617	7547	6219	4210	6817	5965
ENSG00000060642	1	PIGV	protein_coding	310	260	239	462	454	433
ENSG00000204160	1	ZDHHC18	protein_coding	849	877	756	698	840	789
ENSG00000175793	1	SFN	protein_coding	5	3	3	4	6	12
ENSG00000142751	1	GPN2	protein_coding	1003	996	750	868	1066	988
ENSG00000198746	1	GPATCH3	protein_coding	400	405	305	267	332	290
ENSG00000090273	1	NUDC	protein_coding	4391	4361	3680	3151	4131	3876
ENSG00000131910	1	NR0B2	protein_coding	2	5	0	1	0	1
ENSG00000175707	1	KDF1	protein_coding	0	1	0	0	0	1
ENSG00000253368	1	TRNP1	protein_coding	59	73	62	125	186	126
ENSG00000158246	1	TENT5B	protein_coding	44	46	25	16	26	25
